config,seed,n_worlds,accepted_worlds,pass_worlds,repair_worlds,reject_worlds,traceability_failures,combined_ratio_failures,failure_rate_accepted,failure_or_reject_rate,mean_combined_ratio,mean_traceability,top_cr_driver,top_cr_driver_spearman,generation_seconds,validation_seconds,simulation_seconds,diagnostics_seconds,total_seconds,fingerprint,exact_replay
full,20260825,10000,9995,8037,1958,5,3588,1,0.35907953976988494,0.3594,0.44320678566935817,0.9193852206613214,claim_freq_mult,0.5929526052501015,0.5251413000078173,0.007289599991054274,3.052537299998221,0.035862300006556325,3.6582156000076793,61616d6739a13b3fb5f53b9d6df04790db4cc744dbd0ba4bca49be86ecf23cf6,True
no_validator,20260825,10000,10000,10000,0,0,3578,1,0.3579,0.3579,0.443283229602249,0.9196593492360254,claim_freq_mult,0.5932132108241321,0.7187432000064291,0.007087399993906729,4.332022899994627,0.07879919999686535,5.220462500001304,678ec36170658cd0ebdada607df05f0a2864fc396f747b4abd3798c082863005,True
strict_reject,20260825,10000,8037,8037,0,1963,2931,0,0.3646883165360209,0.4894,0.4360928965247258,0.923696086906594,claim_freq_mult,0.6132888116656545,0.49109490000410005,0.0042673999996623024,3.204700500005856,0.07471210000221618,3.848251999996137,41dcb34bfab51ccd24153f65679cb633a17a5e9d5956581a7f3f9a4672ac8bad,True
no_transitions,20260825,10000,9995,8037,1958,5,3562,1,0.3564782391195598,0.3568,0.4428150585225227,0.920661724537563,claim_freq_mult,0.6039238154760614,0.7144109999935608,0.009080499992705882,3.7569586999888998,0.03209399999468587,4.5605217999982415,29d3d7e6a908d4e3226e0b7deb87a80f177e761bb0687ef4b1c93fd7068ef618,True
shared_stream,20260825,10000,9994,7981,2013,6,3465,0,0.34670802481488894,0.3471,0.44328549296079917,0.9219369439437275,claim_freq_mult,0.5907159575555758,0.64725520000502,0.004760399999213405,3.5573006000049645,0.030000799990375526,4.285488199995598,89a494bf2d894c73ea9d739407c648b81039fd22cb004b02d01f3c3eec464922,True
full,20260826,10000,9996,8024,1972,4,3619,0,0.36204481792717086,0.3623,0.44407024070333156,0.9188054541315241,claim_freq_mult,0.5857514402042132,0.4464375999959884,0.003891699991072528,4.996006999994279,0.05338700000720564,5.566996199995629,fdcc82e89edfb3465b795dbd2aa778e7b03a790e71913822531e0a1260f26638,True
no_validator,20260826,10000,10000,10000,0,0,3600,0,0.36,0.36,0.4439894572398096,0.9189069977580708,claim_freq_mult,0.5863652551756526,0.5165921000007074,0.005165399998077191,3.7934305999951903,0.055809099998441525,4.4385231000051135,1eac581a83bfea6da4cbbb84be33e492894aead7911a14403f4f94ddf3825467,True
strict_reject,20260826,10000,8024,8024,0,1976,2980,0,0.3713858424725823,0.4956,0.43637767671320093,0.9216763316973664,claim_freq_mult,0.606243048384635,0.4458713999920292,0.004830100006074645,2.487812599996687,0.03498060000129044,2.9944718000042485,784704e1596075a657aca47f8ced7c21170fa77adf4c21f9296c3e08adaa1b1d,True
no_transitions,20260826,10000,9996,8024,1972,4,3596,0,0.3597438975590236,0.36,0.4435678197660902,0.9200294737865788,claim_freq_mult,0.5926862180907475,0.5227442999894265,0.0028314000082900748,2.8094439999986207,0.021795499997097068,3.400930399991921,b1a68e44c933e7da79d1b9d2e0f9ee418becdb367934fc2a0ac553fa66a38b54,True
shared_stream,20260826,10000,9996,8000,1996,4,3494,0,0.34953981592637057,0.3498,0.4431684159945775,0.923405223038195,claim_freq_mult,0.5935319393307974,0.684373099997174,0.005457499995827675,3.2286450999963563,0.02689029999601189,3.9798757000098703,b8d9e4bdff35c407edc29f76ad6230dac4a77d3bd627c954f977b91b7eb2693f,True
full,20260827,10000,9995,7966,2029,5,3572,0,0.3573786893446723,0.3577,0.4434528939460984,0.9195554667323081,claim_freq_mult,0.5811341752693504,0.7938791000051424,0.006787700011045672,3.9288156000111485,0.026496500009670854,4.780897199991159,4b98c7a4a0953afa2e3a6a1489333925dbafebce6bcf6174e1cc1ca24c8b9205,True
no_validator,20260827,10000,10000,10000,0,0,3557,0,0.3557,0.3557,0.44340882676674953,0.9195435161334541,claim_freq_mult,0.5803082226190822,1.168524000007892,0.009860700010904111,5.15278849999595,0.02889270000741817,6.392711899999995,4ea1a43c0600cc36b879e845adb0ed6b217ffb83985d82a98b81cc4fcbcd1bf8,True
strict_reject,20260827,10000,7966,7966,0,2034,2939,0,0.3689430077830781,0.4973,0.4363750485379102,0.922040975879156,claim_freq_mult,0.6116186804898064,1.0374738999962574,0.005384899995988235,4.352488899996388,0.045715799991739914,5.499348400000599,97f475025b879cd6bb8766f39e13fdacc228ecd2342a5f376e051c6a9787fc93,True
no_transitions,20260827,10000,9995,7966,2029,5,3547,0,0.3548774387193597,0.3552,0.4431758901970006,0.9207708724418421,claim_freq_mult,0.5868166431628462,0.8560737000079826,0.00755550000758376,4.417394600008265,0.055649200003244914,5.4083278000034625,342b0a6c798f8b522cbdc925f299fe7a4adbf838cb4aa09bd9e027ccb1626364,True
shared_stream,20260827,10000,9993,7989,2004,7,3595,0,0.35975182627839486,0.3602,0.4423337947023163,0.9191844014834245,claim_freq_mult,0.578896931132368,0.5933439999935217,0.004271600002539344,5.381809499987867,0.05813109999871813,6.104047400003765,b76622658e3743f339852ee4e26086afb54e41142bb37a17d0c9e3bf5d20e8e8,True
