target,decile,rows,observed,predicted,observed_to_predicted,metric
2023,1,11884,339.0,258.1205846064238,1.313339656799938,claim_count
2023,2,11883,775.0,747.2653209908905,1.0371149018026593,claim_count
2023,3,11884,1187.0,1187.675869812184,0.9994309307536148,claim_count
2023,4,11883,1759.0,1644.0546864248063,1.0699157482560122,claim_count
2023,5,11884,2093.0,2055.9299200128053,1.0180308091371928,claim_count
2023,6,11883,2191.0,2371.9173582230733,0.9237252690968087,claim_count
2023,7,11883,2370.0,2701.335312923165,0.8773438782893558,claim_count
2023,8,11884,3041.0,3188.1796960620222,0.9538358216621805,claim_count
2023,9,11883,4128.0,4021.835812803333,1.0263969471003014,claim_count
2023,10,11884,7275.0,6764.6756116823535,1.0754395949801843,claim_count
2023,1,11884,357075.0575,237161.5923292789,1.505619244638193,incurred
2023,2,11883,1139628.8055,676726.2268779401,1.6840322721902616,incurred
2023,3,11884,1343576.027,1091426.9451449362,1.231026989920594,incurred
2023,4,11883,1830793.146,1508061.4951932502,1.2140043040919848,incurred
2023,5,11884,2056479.7719999999,1907539.687220398,1.0780796781201614,incurred
2023,6,11883,2237712.067,2319673.037419285,0.9646670159556324,incurred
2023,7,11883,2302872.6195,2795594.7821039637,0.8237505071342489,incurred
2023,8,11884,2806565.0065,3426528.518535451,0.8190695017765582,incurred
2023,9,11883,3577532.884,4394652.3671657,0.8140650465846301,incurred
2023,10,11884,5836118.969,7381036.7084389925,0.7906909556928994,incurred
2024,1,16814,557.0,388.1175348994473,1.4351322728675642,claim_count
2024,2,16813,1402.0,1194.0978246033326,1.1741081602470305,claim_count
2024,3,16813,2111.0,1944.2230186868526,1.0857807873428997,claim_count
2024,4,16813,2625.0,2643.3249045248494,0.9930674793350296,claim_count
2024,5,16814,2979.0,3117.395972648258,0.9556052635396557,claim_count
2024,6,16813,3285.0,3511.2620556905886,0.9355610455437545,claim_count
2024,7,16813,3644.0,3964.213581488678,0.9192239330938299,claim_count
2024,8,16813,4724.0,4732.451909487333,0.9982140527470783,claim_count
2024,9,16813,6165.0,6139.7085326017595,1.0041193270436117,claim_count
2024,10,16814,11784.0,10687.498147229342,1.1025966823727513,claim_count
2024,1,16814,706789.8805,366599.812584618,1.9279602886781615,incurred
2024,2,16813,2222051.963,1122952.045185655,1.978759442601695,incurred
2024,3,16813,2288362.8765,1828585.2668379615,1.2514389774435282,incurred
2024,4,16813,2991860.826,2448249.341289216,1.222040898997863,incurred
2024,5,16814,2797297.411,2922555.5511670937,0.9571408864693527,incurred
2024,6,16813,3081844.8415,3352085.779095448,0.9193812582957314,incurred
2024,7,16813,3350028.0805,3881700.9907495575,0.8630309466090815,incurred
2024,8,16813,5334295.8535,4687164.201604588,1.1380646429399413,incurred
2024,9,16813,5902119.123,5917120.169527416,0.9974648061729977,incurred
2024,10,16814,9431700.4245,9886103.128050767,0.9540362165288921,incurred
