column,min,q005,q01,median,q99,q995,max
driver_age,18.0,25.0,27.0,48.0,75.0,77.0,90.0
vehicle_age,0.0,3.0,4.0,25.0,51.0,52.0,68.0
age_driving_licence,0.0,18.0,18.0,20.0,48.0,51.0,80.0
vehicle_value,1630.125,9251.865,10160.110275,24729.6,71121.75,81413.2725,374034.20985
seats,2.0,2.0,2.0,5.0,7.0,8.0,9.0
power_to_weight_ratio,0.0,6.51,7.03,12.05,19.0,20.25,64.81
total_premium,0.0,3.6573847380821976,6.719767478630139,257.90312176109603,1086.903350180548,1315.778603098771,5107.63986534246
total_claims,0.0,0.0,0.0,0.0,3.0,4.0,18.0
total_incurred,0.0,0.0,0.0,0.0,3784.2811949999978,6424.036299999996,571128.318
total_exposure,0.0,0.010958904109589,0.0191780821917808,0.838356164383562,1.0,1.0,1.0
